pl_name,pl_eqt,pl_insol,st_teff,st_rad,habitable
KMT-2021-BLG-0119L b,1051.0,288.69,6063.0,1.012,0
KMT-2021-BLG-0171L b,1022.0,257.32,5242.0,0.722,0
KMT-2021-BLG-0192L b,1177.0,439.2,6164.0,1.446,0
KMT-2021-BLG-0240L b,848.0,105.2,4821.0,0.788,0
KMT-2021-BLG-0320L b,1541.0,278.06737599999997,4821.0,0.788,0
KMT-2021-BLG-0322L b,808.0,100.96,5903.0,0.961,0
KMT-2021-BLG-0712L b,1093.0,338.15,6123.0,0.987,0
KMT-2021-BLG-0736L b,1012.0,247.83,5966.0,0.961,0
KMT-2021-BLG-0748L b,1097.0,271.6,5877.0,1.0699999999999998,0
KMT-2021-BLG-0909L b,1049.0,286.32,5926.0,0.939,0
KMT-2021-BLG-0912L b,780.0,70.361,5788.0,0.873,0
KMT-2021-BLG-1077L b,630.0,29.875,5788.0,0.873,0
KMT-2021-BLG-1077L c,559.0,18.557,5788.0,0.873,0
KMT-2021-BLG-1105L b,284.0,1.3,4898.0,0.803,1
KMT-2021-BLG-1150L b,542.0,20.35,5190.0,0.899,0
KMT-2021-BLG-1253L b,822.0,108.07,5970.0,1.131,0
KMT-2021-BLG-1303L b,772.0,111.8,5422.0,1.782,0
KMT-2021-BLG-1372L b,1074.0,314.25,5776.0,0.849,0
KMT-2021-BLG-1391L b,584.0,27.47,4703.0,0.701,0
KMT-2021-BLG-1547L b,552.0,24.5,4825.0,0.732,0
KMT-2021-BLG-1554L b,843.0,119.44,6122.0,0.964,0
KMT-2021-BLG-1689L b,774.0,94.3,4847.0,0.737,0
KMT-2021-BLG-1770L b,355.0,3.76,4806.0,0.729,1
KMT-2021-BLG-1898L b,1237.0,475.507,5208.0,0.806,0
KMT-2021-BLG-2010L b,530.0,16.029,5208.0,0.806,0
KMT-2021-BLG-2294L b,1008.0,245.15,4239.0,0.6,0
KMT-2021-BLG-2478L b,776.0,85.78,5982.0,0.879,0
KMT-2021-BLG-2609L b,760.0,79.1,5237.0,0.826,0
KMT-2022-BLG-0303L b,386.0,5.23,4821.0,0.788,0
KMT-2022-BLG-0371L b,420.0,7.33,5026.0,0.759,0
KMT-2022-BLG-0440L b,849.0,86.97,4771.0,0.356,0
KMT-2022-BLG-1013L b,1344.0,772.73,4948.0,0.816,0
KMT-2022-BLG-1790L b,946.0,217.4,6074.0,1.005,0
KMT-2022-BLG-1818L b,330.0,2.79,4939.0,0.819,1
KMT-2022-BLG-1818L c,1455.0,407.494504,5887.0,1.235,0
KMT-2022-BLG-2076L b,1327.0,732.82,5887.0,1.235,0
KMT-2022-BLG-2286L b,571.0,37.372,3788.0,0.472,0
KMT-2023-BLG-0119L b,464.0,13.98,3788.0,0.472,0
KMT-2023-BLG-0416L b,379.0,7.204,3788.0,0.472,0
KMT-2023-BLG-0469L b,319.0,3.608,3788.0,0.472,1
KMT-2023-BLG-0548L b,177.0,0.3,3755.0,0.523,0
KMT-2023-BLG-0735L b,697.0,56.3,5420.0,0.868,0
KMT-2023-BLG-0830L b,617.0,31.5,5855.0,1.373,0
KMT-2023-BLG-0949L b,645.0,41.04,5644.0,0.806,0
KMT-2023-BLG-1431L b,508.0,41.5,5871.0,0.983,0
KMT-2023-BLG-1454L b,1156.0,427.6,5854.0,0.979,0
KMT-2023-BLG-1642L b,1203.0,495.14,5420.0,0.871,0
KMT-2023-BLG-1743L b,834.0,114.36,5791.0,1.083,0
KMT-2023-BLG-1866L b,768.0,82.32,5693.0,0.816,0
KMT-2023-BLG-1896L b,215.0,0.5,4658.0,0.686,0
KMT-2023-BLG-2209L b,865.0,138.5,5808.0,0.902,0
KMT-2024-BLG-0404L b,1455.0,215.92867999999999,5808.0,0.902,0
KMT-2024-BLG-0404L c,1244.0,902.239,6105.0,1.287,0
KMT-2024-BLG-1005L b,963.0,324.134,6105.0,1.287,0
KMT-2024-BLG-1044L b,1046.0,287.6,5508.0,0.84,0
KMT-2024-BLG-1209L b,1403.0,917.15,5741.0,0.946,0
KMT-2024-BLG-1281L b,1005.0,241.25,5223.0,0.885,0
KMT-2024-BLG-2059L b,1787.0,373.866008,5151.0,0.792,0
KMT-2024-BLG-2242L b,356.0,3.79,4701.0,0.775,1
KMT-2025-BLG-1616L b,559.0,23.05,6161.0,0.862,0
KOBE-1 b,1299.0,475.0,6104.0,1.477,0
KOBE-1 c,1278.0,691.1,5615.0,0.936,0
KOI-12 b,1063.0,302.6,5918.0,0.865,0
KOI-1257 b,987.0,242.6,5865.0,1.388,0
KOI-13 b,1463.0,225.354936,6021.0,1.141,0
KOI-134 b,1025.0,257.348,6021.0,1.141,0
KOI-134 c,606.0,31.73,4380.0,0.53,0
KOI-142 b,289.0,1.5,5135.0,0.874,1
KOI-142 c,894.0,122.1,5691.0,1.458,0
KOI-1599.01,416.0,7.08,6208.0,1.024,0
KOI-1599.02,864.0,131.92,5984.0,0.906,0
KOI-1783.01,1205.0,499.07,5591.0,0.86,0
KOI-1783.02,580.0,26.68,5745.0,0.837,0
KOI-1831 d,625.0,36.14,5749.0,0.864,0
KOI-1833 d,886.0,145.67,5557.0,1.249,0
KOI-1843.03,493.0,14.0,5646.0,0.817,0
KOI-217 b,678.0,45.389,5235.0,0.75,0
KOI-2513.01,544.0,18.811,5235.0,0.75,0
KOI-3503 b,1328.0,493.0,6046.0,1.396,0
KOI-3503 c,1017.0,253.28,5516.0,0.827,0
KOI-351 b,822.0,108.04,5383.0,0.759,0
KOI-351 c,1194.0,478.98,5633.0,1.162,0
KOI-351 d,1231.0,544.05,5772.0,0.901,0
KOI-351 e,1007.0,243.06,5772.0,0.901,0
KOI-351 f,789.0,91.45,5076.0,0.763,0
KOI-351 g,536.0,19.5,6122.0,0.996,0
KOI-351 h,505.0,15.43,5165.0,0.761,0
KOI-3680 b,1167.0,204.6,5702.0,1.125,0
KOI-4777.01,851.0,124.3,4791.0,0.742,0
KOI-4978 b,851.0,87.6,5541.0,0.859,0
KOI-55 b,1166.0,417.238,5106.0,0.795,0
KOI-55 c,948.0,181.699,5106.0,0.795,0
KOI-7368 b,1356.0,798.35,6173.0,1.041,0
KOI-7913 b,1132.0,389.41,5696.0,0.921,0
KOI-94 b,601.0,30.84,3729.0,0.514,0
KOI-94 c,769.0,82.56,6347.0,0.996,0
KOI-94 d,567.0,24.38,3805.0,0.497,0
KOI-94 e,1212.0,508.75,5788.0,1.015,0
KOI-984 b,901.0,155.72,5868.0,0.894,0
KOI-984 c,856.0,75.0,5159.0,0.8,0
KOINTREAU-1 b,620.0,20.6,5159.0,0.8,0
KPS-1 b,1031.0,266.01,4935.0,0.685,0
Kapteyn c,722.0,50.2,5282.0,0.789,0
Kepler-10 b,596.0,23.2,5282.0,0.789,0
Kepler-10 c,857.0,99.6,5215.0,0.8,0
Kepler-10 d,645.0,40.88,4234.0,0.639,0
Kepler-100 b,987.0,223.93,5721.0,0.972,0
Kepler-100 c,976.0,201.8,5734.0,0.962,0
Kepler-100 d,818.0,105.7,6214.0,1.076,0
Kepler-100 e,585.0,27.66,5982.0,0.96,0
Kepler-1000 b,809.0,101.05,6020.0,1.057,0
Kepler-1001 b,635.0,38.54,6246.0,1.092,0
Kepler-1001 c,675.0,48.99,5530.0,0.788,0
Kepler-1002 b,497.0,14.43,5889.0,0.924,0
Kepler-1003 b,479.0,12.46,5513.0,0.818,0
Kepler-1004 b,803.0,105.297,5479.0,1.007,0
Kepler-1005 b,623.0,38.216,5479.0,1.007,0
Kepler-1006 b,926.0,186.076,5487.0,0.94,0
Kepler-1007 b,660.0,44.87,6277.0,1.161,0
Kepler-1008 b,967.0,216.2,6120.0,1.2715999999999998,0
Kepler-1009 b,1791.0,111.05636,6120.0,1.2588000000000001,0
Kepler-101 b,740.0,71.11,5931.0,0.863,0
Kepler-101 c,553.0,8.63,5881.0,1.294,0
Kepler-1010 b,821.0,107.44,5726.0,1.285,0
Kepler-1011 b,531.0,18.74,5856.0,1.092,0
Kepler-1012 b,451.0,9.8,5256.0,0.832,0
Kepler-1013 b,677.0,34.7,6056.0,0.7922800000000001,0
Kepler-1014 b,621.0,37.8,5720.0,0.92,0
Kepler-1015 b,566.0,37.2,5786.0,1.471,0
Kepler-1016 b,979.0,117.303,6335.0,1.147,0
Kepler-1016 c,595.0,16.026,6335.0,1.147,0
Kepler-1017 b,643.0,31.6,5083.0,0.844,0
Kepler-1018 b,619.0,51.7,6167.0,1.221,0
Kepler-1019 b,1891.0,339.538888,5278.0,0.815,0
Kepler-102 b,1058.0,250.5,5661.0,1.008,0
Kepler-102 c,1700.0,262.572216,5925.0,1.035,0
Kepler-102 d,1083.0,324.78,5570.0,0.899,0
Kepler-102 e,524.0,9.4,6501.0,0.32288,0
Kepler-102 f,1014.0,163.1,6457.0,1.196,0
Kepler-1020 b,527.0,18.25,4522.0,0.655,0
Kepler-1021 b,816.0,104.74,4353.0,0.603,0
Kepler-1022 b,1648.0,953.173,6089.0,1.025,0
Kepler-1023 b,815.0,56.955,6089.0,1.025,0
Kepler-1024 b,562.0,12.863,6089.0,1.025,0
Kepler-1025 b,885.0,145.23,5431.0,0.717,0
Kepler-1026 b,666.0,46.53,6404.0,1.142,0
Kepler-1027 b,1012.0,247.34,5834.0,0.797,0
Kepler-1028 b,1098.0,724.2,6032.0,0.973,0
